Название,Вымышленный автор,Автор,Монстры,Уровень,Тип,Сила,Материал,Оружие,URL в игре,Текст
Друджийская сабля,Лялислав Бездомный,Александр и Елена,друджи,30,основная рука,ближе к магии,металл,сабля (урон: режущий / рубящий),https://the-tale.org/guide/artifacts/208,"
> Если говорить об оружии хорошем, но не вычурном, то сразу стоит упомянуть друджийскую саблю. Дело в том, что даже очень средний клинок, побывавший у этого демона, через время становится весьма и весьма неплохим средством для уничтожения врагов. Просто друджи вкладывает в него особую силу, которая остаётся в нём, несмотря на то, жив ли тот, кто над ним так постарался или нет.   
>   
> Сказать, что я был в полном восторге, когда опробовал такую сабельку — не сказать ничего. На первый взгляд абсолютно неприметное оружие обладало какой-то внутренней притягательностью, а простота его форм скрывала в себе смертельно опасную силу, готовую в любой момент прийти тебе на помощь.   
>   
> Правда, приобрести друджийскую саблю мне так и не довелось — скряга-торговец запросил за неё на тот момент для меня неподъёмную сумму, а когда деньги появились, она уже была продана.   
>   
> Конечно, потом мне ещё попадались такие диковинные подружки, но к тому времени меня интересовали уже совсем иные вещи…

***Лялислав Бездомный «Записки путешественника»***"
Топор ларвы,Переяр,Александр и Елена,ларва,29,основная рука,равновесие,металл,топор (урон: рубящий),https://the-tale.org/guide/artifacts/218,"
> А топор тот видишь? Одна из жемчужин моей коллекции… Сейчас расскажу, слушай.  
>   
>  Жил, давно уже, душегуб один. Народ на дорогах грабил. Женщин, детей убивал. Абсолютный подонок, редкая сволочь. Маньяк и садюга. Ну, нашли его мужики… Да ну какие-то мужики, не важно… Так вот. Успокоили его толпой, да видно не совсем… В том смысле, что не стали его хоронить, как полагается, а так, в яму у дороги бросили да ветками закидали, чтоб путники проходящие не пугались. Ну и, через какое-то время, появилась в округе ларва. Точнее, сначала появились в округе трупы…  
>   
>  На куски порубленные, внутренности растерзаны. Ну, дальше ты понял?.. Во-во. Девушка одна увидела ларву с топором, смогла спастись. Прибежала к людям, рассказала. А кто-то возьми, да и по описанию топора узнай того самого психопата. Я, аккурат, поблизости был. Без лишней скромности, был я уже небезызвестен. Нашёл ларву, успокоил. Потом объяснил жителям, что хоронить надо правильно, даже мразь последнюю.  
>   
>  Вот так у меня топор этот появился. Хорошее оружие, между прочим. Ларвы вообще часто с оружием шатаются. Так что на будущее тебе – всегда лучше трофей у убитого забрать. Сам пользоваться не будешь, так продашь. Зато уж точно, если какая-то тварь из мёртвых восстанет, то хоть с голыми руками.

***Из бесед у камина со старым Переяром***"
Мясорез,Переяр,Александр и Елена,каннибал,35,основная рука,ближе к магии,металл,меч (урон: колющий / рубящий),https://the-tale.org/guide/artifacts/224,"
> …Клинок-то этот? Хороший, да. Сталь отличная, правильная заточка, удобный опять же, не слишком длинный. Отличный меч… Называется как? Ну, это… Те, кто такие клинки делает, называют их мясорезами…  
>   
>  Кто делает? Да не важно… Интересно ему. Ладно. Помнишь, я тебе про каннибалов рассказывал?.. Ну вот, опять! А ведь сам же спросил. На вот, водички попей.

***Из бесед у камина со старым Переяром***"
Поцелуй смерти,Каиниллин,Александр и Елена,бывший палач,32,основная рука,ближе к физике,металл,топор (урон: рубящий),https://the-tale.org/guide/artifacts/232,"
> О, заходи же, уважаемый, заходи. Я помню тебя. Ты интересуешься оружием. Безусловно, твоя коллекция должна быть самой большой в округе… Только вторая? Что ж, у меня есть то, что приблизит её к первому месту! Интересует?..  
>   
>  Взгляни, это поцелуй смерти… Так называют свои топоры палачи… Нет, что ты. Разве стал бы я предлагать тебе ворованную вещь? Этот топор — трофей одного авантюриста, на которого напал бывший палач, ушедший в разбой… А что тебя удивляет? Меня, лично, как представителя высшей расы, у вас у людей ничего не удивляет. Хотя, прости. Возможно, это поцелуй смерти орочьего палача. Берёшь? Но учти, цена — сам понимаешь…  
>    
>  Вот и отлично. И кстати, название «поцелуй смерти» придумано именно у орков, а позже перенято людьми.

***Купец Каиниллин «Торг с путешественником»***"
Костяной нож,Переяр,Александр и Елена,кобольд,1,основная рука,магическая,кость,нож (урон: колющий / режущий),https://the-tale.org/guide/artifacts/308,"
> …Разузнал где достать и на болота двинул. Кобольдов искать… Я?! Ясное дело, что нашёл! Если Переяр ищет кого-то, то найдёт! Не перебивай.  
>   
>  Так на чём я?.. А, ну да. Иду, значит, день уже пятый, наверное. Израненный теми, кто сам меня нашёл, на болотах их много, ага. И так за кусты по тропке сворачиваю, вот он. Жрёт чё-то. И ножиком костяным еду свою режет, в аккурат, как я себе хотел. Я сталь выхватил и к нему.  
>   
>  А он, сволочь, мелкий. Попасть сложно по нему. Пляшет вокруг меня, ножом своим машет, верещит чего-то. Ладно, думаю, пляши, глянем на сколько тебя хватит. Я в защиту ухожу, а этот, пенёк натурально, скачет всё, лапками своими тщедушными достать меня пытается. Ага, сщаз-з! С моим полуторником хрен ты ко мне близко подберёшься. Держу его на длине клинка, жду.  
>   
>  Ну, и как только он выдохся малость, р-раз!.. Рано зеленеешь! Чего ты? Может я не попал? Слушаешь меня?.. Отлично, вот и слушай. Значит р-раз! И морда его вытянутая, как у крокодила какого, в одну сторону полетела, по самые глаза ему срезал, хе-хе! А тело в яму, водой заполненную, повалилось. Помню, ещё подумал тогда, как это такая мелкая гнида такой громкий хлюп в луже издала?.. Эй! Опять тошниться побежал?!. Ну, ничего, потом ещё спасибо скажешь.

***Из бесед у камина со старым Переяром***"
Полэкс,Очирбат и Йорл,Александр и Елена,эмиген,25,основная рука,физическая,металл,полэкс (урон: колющий / рубящий),https://the-tale.org/guide/artifacts/382,"
> – Очирбат.  
>   
> – Чего?  
>   
> – А я тебе рассказывал, как мне отец полэкс подарил, когда у меня начала борода расти?  
>   
> – Нет. Но сперва объясни, что такое полукс.  
>   
> – Полэкс. Топор такой. На длинном топорище. Широкое лезвие, на обухе обычно шип. И на конце шип, по типу наконечника копья. Удобное оружие. И рубить можно, и латы пробить легко, если другой стороной. И колоть.  
>   
> – Понял. Видал такой у какого-то ходока. У него ещё древко было полосами металлическими усилено.  
>   
> – Лангетами. Это, скорее всего, наша, дварфовска работа. Хотя полэксы и люди куют, и орки в наших городах осевшие. Даже эмигены научились. Очень им эти топоры понравились. Но люди и орки лангеты редко делают, а эмигенские здоровенные, мало кому по руке приходятся.  
>   
> – Ты про отца рассказать хотел.  
>   
> – А, да. Так вот. Выпил он сперва дома, по случаю моей будущей бороды, и направился в трактир. С друзьями веселье продолжать. Возвращается утром с новым топором и несвежим перегаром. А к полудню стража приходит...

***Очирбат и Йорл «Патрулирование трактов»***"
Шамшир,Каиниллин,Александр и Елена,маахис,25,основная рука,магическая,металл,сабля (урон: режущий / рубящий),https://the-tale.org/guide/artifacts/384,"
> Прекрасное оружие. Эти сабли, как ни удивительно, придумали карлики-маахисы, дикий подземный народ. В их среде обитания, в тоннелях и пещерах, такое оружие очень удобно. Колоть им, из-за сильного изгиба клинка, маахисы не могут. Зато для удара с оттяжкой, при слабом замахе, шамшир подходит идеально...  
>   
> Потому что в подземелье редко можно широко размахнуться. Низкие своды, узкие проходы. Но и у нас многим эти сабли полюбились. И кстати, верховой может колоть ей пешего не меняя положения в седле. А у тебя, как можно судить по запаху, есть конь... Не извиняйся, путник. Не стоит. Я давно привык к тому, что представители вашей расы, в противоположность эльфам, по прибытии в город сперва идут по лавкам, и лишь после в баню. Но оставим вопросы чистоплотности и вернёмся к делу. Берёшь?..  
>   
> Безусловно у меня есть шамширы дороже! Герою, знающему толк в оружии и обладающему приличными деньгами, могу предложить саблю работы выше упомянутых маахисов. Выглядит попроще, эфес и ножны без инкрустации. Зато это не парадная безделушка, а зачарованное грозное оружие! Но и цена у него соответствующая.

***Купец Каиниллин «Торг с путешественником»***"
Пламенный воротник,Каиниллин,Александр и Елена,огненная лиса,4,наплечники,равновесие,шкура,нет,https://the-tale.org/guide/artifacts/56,"
> Сударыня, я знаю, что вы ищете! Ваша жизнь связана с путешествиями и риском, я прав?.. О, у меня острый глаз представителя высшей расы и намётанный взгляд честного купца! Прошу. Пламенный воротник. Безусловно, эта вещь украсит вас, подчеркнув красоту, и в то же время защитит ваши нежные женские плечи от ударов монстров и негодяев.  
>   
> Наплечники из огненной лисы — выбор элегантной и практичной женщины, желающей подчеркнуть свой статус и независимость. Взгляните, как играет свет на этом чудесном мехе. А в темноте он чуть ли не светится! Примерьте, эти наплечники очень удобны. И цена, по нашим временам, весьма приемлема…  
>   
> Нет? Что ж, заходите в другой раз. До свиданья… глупая человеческая самка… Я говорю, удачи в дороге!

***Купец Каиниллин «Торг с путешественником»***"
Сапоги мертвеца,Каиниллин,Александр и Елена,джудцгу,65,обувь,магическая,кожа,нет,https://the-tale.org/guide/artifacts/354,"
> Заходи путник. Ты находишься в лавке с наибогатейшим выбором артефактов и эксклюзивных вещей. Меня зовут Каиниллин, и я надеюсь, что ты пришёл сюда для того, чтобы продать что-то или купить. Если же нет, выматывайся отсюда, пока цел!..  
>   
> Да-да, вне всякого сомнения, со мной всё в порядке, не беспокойся путник. Просто очень много отребья и проходимцев сегодня здесь ошиваются, так и норовят что-нибудь сломать или украсть. Но, безусловно, тебе это неинтересно. Так что ты принёс? Надеюсь не крысиные хвостики, а то мне впору лавку корсетов открывать будет... Сапоги с мертвеца? Ты издеваешься?!.. А-а, сапоги мертвеца, это совсем другое дело. Позволь взглянуть...  
>   
> Так-так. Отличная работа. Орочья?.. Людская, ну надо же, почти не отличить. Изумительно сшито: и двойной шов, и подошва проклеена на совесть, и даже шнурки сделаны грамотно – переплетение змейкой. Всё хорошо. Я намочу их, не возражаешь?.. А почему нет? Ты хочешь, чтобы я купил у тебя сапоги мертвеца, не проверив их в воде?.. Зачем? Ты, безусловно, меня удивляешь, путник! Как известно, кожа джудцгу при намокании становится почти прозрачной. Я хочу убедиться в подлинности предлагаемой тобой вещи... Все же нет? Хорошо, ну что ж, тогда у меня к тебе есть предложение. Сейчас я из-за стойки выйду...  
>   
> Слушай меня, мерзкое человеческое существо. Напряги весь свой скудный мозг и запоминай: если ты ещё раз принесёшь ко мне в лавку подделку, я выйду за тобой из города и так долго буду припекать тебя огненными шарами, что от тебя даже пепла не останется. Ты запомнил?.. Молодец, зверёк, справился, теперь беги отсюда на травку, пока хвостика не лишился...

***Купец Каиниллин «Торг с путешественником»***"
Мозговой слизень,Переяр,Александр и Елена,слизь,10,шлем,равновесие,плоть,нет,https://the-tale.org/guide/artifacts/28,"
> Особый центр у слизи внутри, уплотнение такое… Ну слизь она вся как… как слизь! А то, ну как холодца кусок. Так вот, этот мозговой слизень у слизи вместо мозга… Ну какой есть, хе-хе.  
>   
>  Успокаиваешь слизь… обычной сталью можно, да… ага, аккуратно разгребаешь её ошмётки. Находишь этот мозговой слизень, выдираешь с характерным таким чпоком. Промываешь холодной водой. Как раз и сам помоешься, потому как умарухаешься в слизи весь, а она ж воняет жутко… Ждёшь маленько, слизень загустевает слегка. Вылепляешь из него шлем, какой нравится. Если слизь здоровая была, то мозгового слизня хватает на шлем с забралом, глухой бармицей и гребнем, ну или рогами, как нравится… Да, и уже даёшь шлему высохнуть. Он такой, видишь, серо-коричнево-зелёный получается, эльфам особенно нравится. Крепче железного получается.  
>   
>  … Ну по сути может ты и прав, да. Шлем из мозгов. Пусть, но это всегда было особым шиком у всех путешественников, охотников и прочих.

***Из бесед у камина со старым Переяром***"
Кобеняк,Хан и Туан,Александр и Елена,клешнец,5,плащ,равновесие,ткань,нет,https://the-tale.org/guide/artifacts/41,"
> Кобеняк — разновидность плаща. Кобеняк достаточно широк, чтобы его можно было надевать поверх прочей одежды в холодный месяц, что особенно актуально на равнинных и горных ветрах.  
>   
> Главной отличительной особенностью кобеняка является капюшон, который представляет собой мешок с прорезями для глаз и иногда для рта. Обычно он забрасывается за спину, а в дождь или сильный мороз его надевают сверху на шапку или шлем, защищая таким образом лицо. У людей такой плащ шьют, как правило, из грубого серого сукна. В горах кобеняки чаще из шерстяных тканей, и называются кепеняками. В некоторых поселениях орков подобную одежду называют чуга, она делается из войлока и является традиционным видом одежды, которую девушки надевают на свадьбу. Свадебную чугу изготавливают иначе — из белого валяного сукна — и расшивают сложными узорами. Согласно мнению некоторых историков, именно от свадебной чуги орков у других рас появилась традиция прикрывать лица невест.

***«Большая энциклопедия Хана и Туана», том седьмой***"
Каменные чётки,Переяр,Александр и Елена,нахцерер,54,амулет,ближе к физике,камень,нет,https://the-tale.org/guide/artifacts/361,"
> ...Полуразложившиеся, безмозглые, не были бы опасны, если б не одна мерзкая особенность. Нахцереры отравляют всё вокруг. Жрут свою же гнилую плоть, распространяют страшные болезни. Натуральная жуть!  
>   
> В их появлении сложно кого-то винить. Многие даже руки мертвецами связывают и затыкают рот. Камнями, тряпками, землёй, где как... Ты чего это позеленел опять?..  
>   
> Точно в порядке? Ладно. На чём это я? А, ну да. Чушь это. Всё равно выберется. Причём, если, скажем, каменными чётками покойнику руки обмотать, а часто именно так и делают, то это ещё и поможет некроманту нежить эту поганую поднимать. А тогда и вовсе половина жальника может из земли повылезать...  
>   
> Нет, не только. Нахцерер может и сам встать, без помощи чьей-то магии. Но при любом варианте чётки, если из камня сделаны, будут обладать волшебной силой. Очень такой амулет в бою помогает.

***Из бесед у камина со старым Переяром.***"
Чешуйчатые руки,Каиниллин,Александр и Елена,хала,45,перчатки,ближе к магии,чешуя,нет,https://the-tale.org/guide/artifacts/366,"
> Заходи путник. У меня в лавке... а, это ты. Ну, здравствуй. Я, вне всякого сомнения, рад тебя видеть. Давно не заходил. Что-то случилось?.. Ах, побывать на родине это дело, безусловно, благое. И как там?.. Замечательно, но об этом позже. Ты у меня остановишься?.. Отлично. Тогда давай сделаем так. Посиди здесь, мне заказчика дождаться надо, а затем уже пойдём. Хотя, если хочешь, можешь взять ключи и иди сам, а я потом буду. В конце концов, ты, наверняка, устал и нестерпимо хочешь вымыться... О, силы магии. Я не верю, что ты эльф. Ну, что ж, раз тебя устраивает покрывающий тебя слой грязи и ты не стремишься побыстрее от него избавиться, тогда жди. Можешь сесть вон там...   
>   
> Кстати, что у тебя на руках?.. Нет. Ты заблуждаешься, это не кагирские перчатки, это рваньё, притом далеко не факт, что когда-то бывшее чем-то стоящим... Какая разница за сколько ты их купил? Деньги девать тебе некуда, вот и одеваешься неизвестно где. Почему ко мне не зашёл?..  
>   
> Ну, конечно же, срочность – это основной показатель при выборе снаряжения. При случае сходи туда, где оставил свой мозг и обязательно верни его обратно, иначе долго не протянешь. А ты мне дорог, хотя бы как память. Вот, возьми эти чешуйчатые руки... Да броские, но, по крайней мере, это лучше, чем та гадость, что сейчас на тебе. И запомни, настоящие кагирские перчатки за два месяца не изнашиваются... Из чего делаются чешуйчатые руки? Одно мгновение. Держи... Друг мой, ты меня пугаешь. Это книга, её читают. Например, для того чтобы узнать ответы на интересующие вопросы... Я не язва. Из халы они изготавливаются. Но всё равно почитай, тебе интересно будет…

***Купец Каиниллин. Разговор с путешественником.***"
Баклеранер,Очирбат и Йорл,Александр и Елена,ракопаук,25,вторая рука,физическая,хитин,нет,https://the-tale.org/guide/artifacts/373,"
> — ...Это баклер, из панциря ракопаука. Отличный щит, Очирбат! Сколько раз мне жизнь спасал, и не сосчитать... А нет, чего ж не сосчитать? Дважды. Точно!  
>   
> — Ну?  
>   
> — Первый раз, когда ледяной тур меня бодал с разбега. Левым рогом пробил бы меня, насквозь, как пить дать. Но я успел щит подставить. Так баклеранер даже не треснул!  
>   
> — А второй?  
>   
> — Второй, это я какую-то страшную хворь подхватил, а на лечение не хватало. Вот я щит и продал. За него всегда хорошие деньги дают.  
>   
> — Так чего, Йорл? Брать, говоришь?  
>   
> — Цена честная.  
>   
> — Не знаю. Репутация у этого Каиниллина...  
>   
> — Ха-ха. Это он тебе не нравится просто. Вернее, ты ему. Но за баклеранер он нормально хочет. А качество товара у него всегда отличное. Подделками не торгует.  
>   
> — А почему название такое?  
>   
> — Это от гоблинского названия ракопаука. Только я не помню, как он по ихнему...

***Очирбат и Йорл «Патрулирование трактов»***"
Жирник,Каиниллин,Александр и Елена,жирница,35,доспех,равновесие,хитин,нет,https://the-tale.org/guide/artifacts/263,"
> Ну, заходи, путник. Куда ты пошёл, тебе туда нельзя!.. Посмотреть? Я и сам тебе покажу всё, что надо, о, представитель, безусловно, самой непосредственной, как бы не сказать грубее, расы. Чего тебе надо?..  
>   
> Конечно, у меня есть доспехи, ты же видишь. Или ты мало того, что тупова… э.. не очень сильно выделяешься эрудицией даже среди остальных орков, но ещё и слеповат?.. Да я понял, что ты ничего не понял, это в принципе меня не обескуражило. Так какой доспех ты ищешь?.. На себя, содержательно, нет слов. Ну а, допустим, предпочтения?..  
>   
> Хороший. Ладно, хороший так хороший. Денег то у тебя на него хватит?.. Отлично, хоть с этим у тебя все в порядке. Вот смотри. Черная гладкая кожа, серебряные накладки… В смысле бабский?.. Ага, что-нибудь побрутальнее, шипы тебе брутальными не кажутся. Ну что ж, тогда взгляни вот сюда. Нарочито грубая работа, торчащие в разные стороны э.. подобно ядовитым иглам волоски… Нет, волоски можно трогать, они не ядовитые. Ты смотри, какие накладки, в виде раздробленных костей… Он не грязный, хотя странно, что тебя это смутило, он сам по себе такой чуть жирноватый. Это же доспех из жирницы — здоровенного таково паука. Называется такая вещь жирник. Очень мужественно смотрится и прочный какой. У тебя на родине, в пустынях, все от зависти умрут…  
>   
> Безусловно, я так считаю. Ты себе не представляешь, сколько орков хотели купить этот доспех, но их на него не хватало. А ты сможешь, я еще и уступлю… Вот и хорошо по рукам.

***Купец Каиниллин «Торг с путешественником»***"
Высокие сапоги,Переяр,Александр и Елена,сушилец,6,обувь,равновесие,кожа,нет,https://the-tale.org/guide/artifacts/25,"
> А по болотам и всякой грязи лучше всего лазить в высоких сапогах из кожи сушильца сделанных. Только делать их надо уметь!.. А то. Это целая наука.  
>   
> Суть в том, чтобы правильно обработать кожу, а прежде её аккуратно снять. Если получится, то заимеешь обувь, к которой не пристаёт грязь. Соскальзывает с сушильцевой слизи, которая остаётся на коже. Такие сапоги, если правильные, вырабатывают… ну в смысле кожа вырабатывает слизь ещё несколько лет. Болотная тина, вода, навоз разный и другое… ну грязь, короче… всё соскальзывает по гладкой коже сапог, покрытых тонким-тонким слоем этой слизи. Правду сказать, и самому в ней вымазаться немудрено. Но пользы куда больше!

***Из бесед у камина со старым Переяром***"
Поползневый тегиляй,Каиниллин,Александр и Елена,поползень,1,доспех,ближе к магии,кожа,нет,https://the-tale.org/guide/artifacts/22,"
> …Подешевле? Ну чему я удивляюсь? Конечно, мой скупой, зато с длинной бородищей, покупатель, есть и подешевле — поползневый тегиляй.  
>   
> Да, делается из поползня. Если его правильно кормить, то шкура становиться довольно прочной. Безусловно, не как у гидры, но тебе, я думаю, подойдёт. И не дорого, и крепкий, вязкий, оружие твоих, уверен, многочисленных врагов застревать будет. Бери. Хоть и невзрачный, зато это хороший компромисс цены и качества. Надеюсь, ты знаешь, что такое компромисс?..

***Купец Каиниллин «Торг с путешественником»***"
Плотный халат,Переяр,Александр и Елена,охотник за реагентами,20,доспех,магическая,ткань,нет,https://the-tale.org/guide/artifacts/35,"
> Было дело, помню, странные вещи творились. Года два я по болотам мотался. Спрос тогда был на пиявок, а деньги нужны… Короче, с год я, как ни наткнусь на охотника за реагентами, так у него обязательно плотный такой халат был. На нём, или, скажем, в сумке.  
>   
> Из какой-нибудь особой ткани. Иногда грязный, но ничего, от крови отмоешь, от тины, слизи всякой, грязи, в городе продашь… Ну дорогой халат для работы в алхимических лабораториях, часто пропитанный чем-то! Конечно в цене! Тем более, если усиленный кожаными вставками или магией.  
>   
> А потом как-то раз!.. И прямо редкостью стало. За второй год ну халатов пять, от силы шесть, мне попалось.

***Из бесед у камина со старым Переяром***"
Крават,Каиниллин,Александр и Елена,щупальце,13,амулет,физическая,кожа,нет,https://the-tale.org/guide/artifacts/30,"
> Путник, если ты хоть немного разбираешься в амулетах, ты поймёшь, что сегодня тебе улыбнулась судьба. Этот крават из щупальца я выторговал у некоего алчного, но недалёкого, что, впрочем, свойственно представителям этой расы, гоблина. Взгляни. Лаковый блеск чёрной кожи щупальца с лицевой стороны, элегантные присоски с обратной. Длина — будто амулет делался специально для тебя.  
>   
> А знаешь ли ты о свойствах этого кравата, или, как его ещё называют, галстука? Тот, кто носит подобный амулет, никогда не устаёт в сражении, за столом и в опочивальне. Уж мне-то, эльфу, ты можешь довериться в вопросах магии. К тому же присоски, прилегающие к одежде, удерживают галстук, и не дают ему развеваться на ветру, что, согласись, порой мешает.  
>   
> И за этот, практически эксклюзивный, амулет я прошу у тебя всего несколько презренных монет…

***Купец Каиниллин «Торг с путешественником»***"
Амулет смерти,Каиниллин,Александр и Елена,некромант,46,амулет,равновесие,стекло,нет,https://the-tale.org/guide/artifacts/320,"
> Так, а это что?.. То, что это амулет, я и без тебя вижу. С того же некроманта снял?.. Понятно. Дай-ка я на него внимательнее посмотрю. Прекрасная работа, тончайшее филигранное плетение, а в него заключена амфорка черного стекла. Превосходно…   
>   
> Нет, чтобы сделать этот талисман почти никого не надо убивать… Да, почти, в конце концов он же тебе не от поверженной повитухи достался. Безусловно, вся подобная магия творится на крови. Что тебя удивляет?.. Вот и отлично, его я возьму за...   
>   
> Нет, какая тебе разница, что дает амулет смерти? Ты же его всё равно носить не будешь… Интересно ему. Хранитель, до чего мир докатился, дварфу магия интересна. Этот амулет укрепляет твою духовную защиту… Не льсти себе, ничего тебе не понятно. Так ты его продаешь?.. Хорошо, идем дальше…

***Купец Каиниллин «Торг с путешественником»***"
Ветреные сапоги,Каиниллин,Александр и Елена,смерч,16,обувь,равновесие,кожа,нет,https://the-tale.org/guide/artifacts/64,"
> Многие привержены суеверий, столь же глупы, как и орочий ребёнок, ничем, кроме удовлетворения элементарных потребностей, не интересующийся. Считать, что магические ветреные сапоги, которые остаются на месте уничтоженного и развеянного смерча, носить самому опасно – это, на мой профессиональный взгляд купца, ценителя редкостей и просто эльфа, следствие общей неграмотности, тёмности и узости ума. Тот факт, что расы, относительно эльфов, низшие, не чувствуют магии и не понимают её, не является оправданием.  
>   
> Безусловно, представленные сапоги имеют уникальную кожу, несомненный эстетический вид, но… Ветреные сапоги – абсолютно естественный, не требующий каких-либо разъяснений, предмет мира. Обувь, вполне понятного магического происхождения. Нужно добавить, что ветреные сапоги не такая уж магически сильная вещь, и не слишком высокой степени защиты, чтобы я заплатил за них хоть на монету больше, чем ранее мною было озвучено…

***Купец Каиниллин «Торг с путешественником»***"
Дасийские наплечники,Каиниллин,Александр и Елена,даса,36,наплечники,равновесие,кожа,нет,https://the-tale.org/guide/artifacts/210,"
> Путник, ты в мою лавку уже пятый раз с полудня заходишь. Может ты что спросить хочешь, а твоя людская глу… скромность тебе не позволяет?.. Безусловно, у меня есть доспехи… И перчатки тоже есть… Сапоги? Разумеется. Показать?..   
>   
> Ты, уродующее мир недоразумение, хватит топтать мой чистый пол своими грязными, явно откопанными на свалке сапогами, и доканывать меня своими идиотскими, по неизменному обычаю людей, бессмысленными вопросами! Вон отсюда, отребье!!! Что ты там промямлил?.. Купить у меня?.. Деньги-то у тебя есть, бестолковая ты сущность?.. Покажи, не верю… Не отниму, не бойся, я купец Каиниллин, а не разбойник… Мама не велит?! Чушь какая-то, ты псих, я сейчас стражу позову! Выматывайся!..   
>   
> Так… ладно хорошо, верю, деньги у тебя есть, ты главное успокойся. Вон возьми там тряпка на подоконнике, ты ей пену с губ и пот свой вытри. Ты главное дыши глубоко, не переживай и встань вон туда... ну да чуть подальше, тебе так виднее будет. Что тебе показать?.. Наплечники? Все?.. Хм… Дасийские только? Конечно, вот смотри. Прекрасная работа. Пяточная кожа, пальцы не пришиты, когти родные. Сразу видно, что не подделка, с цельной ступни кроились… Да, безусловно, шов контурный, воском запечатан, посмотри, он ещё даже весь не обтерся, и нить вся просмолена. А ты я вижу, разбираешься?.. Угу… Стоят они…  
>   
> Берёшь?.. Вот и чудно. Ну, иди, иди с миром… Да-да, до свиданья.

***Купец Каиниллин «Торг с путешественником»***"
