Название,Вымышленный автор,Автор,Уровень,Тип,Архетип,Интеллект,Общение,Структура,Особенности,Передвижение,Форма тела,Размер тела,Положение тела,Оружие,Способности,Территория,Добыча,URL в игре,Текст
Баргест,Перкунос Седой,Александр и Елена,22,животные,воин,инстинкты,жестовое,живая плоть,"шерсть: длинная,шерсть: облезлая,зубы: клыки,глаза: голубые,запах: падаль,глаза: светятся,хвост",4 лапы,собачье,большой,горизонтальное,клыки (урон: кусательный; материал: зуб; тип силы: физическая),"Здоровяк,Удар,Быстрый","сухие луга,луга","чёрный волос,шкура баргеста",https://the-tale.org/guide/mobs/94,"
> В полях обширных, на лугах цветущих ночью темной встретить его можно. Носится энтот зверь лютый на лапах сильных и чёрен оный аки уголь. Шерсть егонная лохмами вниз до земли спадает, глаза егонные, словно плошки, круглые, огромные, во тьме синим и белым светятся. А зовётся оный — баргест.   
>   
> Нравом волчьим пёс энтот обладает, злобу дикую кровь егонная в себе хранит и на вред народу доброму его толкает.   
>   
> В тех местах, где баргест поселится, сперва скот пропадать почнёт, затем бабы, что в теле формами обладают, а опосля и мужики крепкие да рослые.   
>   
> Не под силу с энтим существом люду простому справиться, поэнтому надобно, как только беды такие происходить начнут, ко всем, кто оружием владеет, за помощью обращаться и, покуда баргеста не прибьют, из домов без дела особого не показываться.

***Перкунос Седой «О мире и жителях егонных», том второй***"
Полоумный маг,Лялислав Бездомный,Александр и Елена,21,разумные двуногие,маг,нормальный,"вербальное,жестовое",живая плоть,"одежда: хорошо,глаза: безумные",2 ноги,гуманоидное,средний,вертикальное,посох (урон: ударный; материал: дерево; тип силы: ближе к магии),"Худой,Заряд,Удар,Берсерк,Убийца,Пиромания,Громила","болото,заболоченные холмы,заболоченный лес,заболоченный лес на холмах,высокие горы,джунгли,джунгли на холмах,низкие горы,мёртвый лес,мёртвый лес на холмах,пустыня,песчаные дюны,грязь,грязевые холмы","разумный обруч,эссенция ума",https://the-tale.org/guide/mobs/47,"
> Как-то решил я срезать дорогу и перейти на другой тракт через поля. Ну что, дорогу-то я срезал, только зря. Потом пришлось возвращаться обратно в город и магически залечивать переломанную руку. Иначе остался бы я калекой.   
>   
> А дело было в чем, посреди поля, на котором зрел подсолнух, на меня напал полоумный маг. Вроде бы и худенький такой, субтильненький, а дури в нём как в борове разъярённом. Откуда он силы только свои черпал, до сих пор понять не могу. Одним заклинанием посев поджёг, другим в меня попал. Если бы я тогда не увернулся, точно остался бы на поле в качестве удобрения.   
>   
> Позже мне удалось разузнать, что некоторые маги, чрезмерно увлекшись своим чародейством, потихоньку сходят с ума и становятся агрессивными. В нормальном обществе им не выжить, поэтому они селятся там, где есть еда, то есть в полях.   
>   
> Так что будьте готовы к тому, что из зарослей гороха на вас может выскочить тощий дурик с необузданной магической силой и зловредным характером.

***Лялислав Бездомный «Записки путешественника»***"
Гремлин,Перкунос Седой,Александр и Елена,1,разумные двуногие,авантюрист,низкий,"вербальное,жестовое",живая плоть,"кожа: тёмная,одежда: шкуры,горбящийся",2 ноги,гуманоидное,маленький,вертикальное,дубина (урон: ударный; материал: дерево; тип силы: равновесие),"Критический удар,Ярость,Удар,Быстрее ветра","болото,хвойный лес,лиственный лес,заболоченный лес,джунгли,мёртвый лес,песчаные дюны,высохшие растрескавшиеся холмы,грязевые холмы,холмы с высохшей травой,зелёные холмы,заболоченные холмы,хвойный лес на холмах,лиственный лес на холмах,заболоченный лес на холмах,джунгли на холмах,мёртвый лес на холмах,глубокая вода,мелкая вода,высокие горы,низкие горы,пустыня,высохшая растрескавшаяся земля,грязь,сухие луга,луга","разбитый щит,старое кольцо,шапка гремлина",https://the-tale.org/guide/mobs/66,"
> Гремлин энто паразит такой, что почти повсюду обитается. Нету его токма там, где трава и зелень всякого рода не растет. Вид оный имеет препоганый. Роста обычно бывает малого, нормальному мужику ниже груди будет. Но случается когда и здоровые гремлины вырастают, почти со взрослого человека.   
>   
> Шустрые энто паршивцы и пакостники великие. Не могут оные пройти мимо телеги чьей-нибудь иль мельницы деревенской, всё им надобно разломать и порушить.   
>   
> Тот, кто оружием и навыками воинскими не обладает, от гремлина сам избавиться не сможет, так как опасный он и удар имеет крепкий, особливо, когда грибов своих дурманящих нажрется.

  
***Перкунос Седой «О мире и жителях егоных», том второй***"
Комол,Очирбат и Йорл,Александр и Елена,47,животные,маг,инстинкты,жестовое,живая плоть,"запах: падаль,зубы: клыки,шерсть: облезлая,шерсть: средней длины",4 лапы,собачье,большой,горизонтальное,клыки (урон: кусательный; материал: зуб; тип силы: ближе к магии),"Худой,Медленный,Здоровяк,Удар,Пиромания,Дезориентация","заболоченные холмы,лиственный лес на холмах,высохшие растрескавшиеся холмы,сухие луга,холмы с высохшей травой,луга,зелёные холмы","кеньги,комолка",https://the-tale.org/guide/mobs/189,"
> – Как оно выглядело, дед? Чудо твоё страшенное?  
>   
> – Дык знамо как. Говорю ж, сынки. Словно волчище, токмо росту в ём, что в быке добром, шерсть рыжая. И роги у его о-от такенные, как есть говорю, сам видал!  
>   
> – Ну, не знаю, Йорл. Что он разглядеть-то мог? Старый, подслеповатый же ...  
>   
> – Погоди, Очирбат. Скажи-ка, дед, а морда у бестии этой точно, как у волка?  
>   
> – Морда? Морда – нет. Скорей, рыло свиное, без пятака токмо. А клыки точь-в-точь волчьи. А ты, орк, зря на меня наговариваешь. Видел его, как тебя. Смрад даже чуял, что от его исходил! Он мой дом вторым пожёг, а я в окно вылез, прям под лапы ему наземь упал.  
>   
> – А чего это он тебя не съел, а старик?  
>   
> – Почём мне знать-то, милки? Вот вы его и спросите, как сыщите. Для того ж пришли, поди? Страховидлу искать, да нас от её избавить?  
>   
> – Всё верно, дед. Не волнуйся, найдём. Спросить, не спросим, правда, – тварь неразумна... А то глядишь, и ходоки разберутся. А деревню Совет поможет отстроить, главное, жертв немного. Как думаешь, Чирба, комол?  
>   
> – В этих краях? Редкость, вроде бы. Но, похоже, что комол. Если б не пожар... а так да. Но следы тебе всё равно искать, борода, там и посмотрим.

***Очирбат и Йорл «Патрулирование трактов»***"
Нахцерер,Виен-Нгуен и Эллунир,Александр и Елена,54,нежить,авантюрист,рефлексы,жестовое,мёртвая плоть,"глаза: остекленевшие (рыбьи),кожа: тёмная,заразный,запах: падаль,горбящийся",2 ноги,гуманоидное,средний,вертикальное,клыки (урон: кусательный; материал: зуб; тип силы: равновесие),"Медленный,Сильный удар,Удар,Ядовитость","болото,хвойный лес,лиственный лес,заболоченный лес,джунгли,мёртвый лес,песчаные дюны,высохшие растрескавшиеся холмы,грязевые холмы,холмы с высохшей травой,зелёные холмы,заболоченные холмы,хвойный лес на холмах,лиственный лес на холмах,заболоченный лес на холмах,джунгли на холмах,мёртвый лес на холмах,глубокая вода,мелкая вода,высокие горы,низкие горы,пустыня,высохшая растрескавшаяся земля,грязь,сухие луга,луга","каменные чётки,потрёпанный саван",https://the-tale.org/guide/mobs/191,"
> День 4.  
> Вечер.  
> Поиски подходящего кладбища наконец-то дали нужные результаты. Начаты необходимые приготовления.  
>   
> День 5.  
> Утро.  
> Проверены шесть захоронений.  
> В могиле трёхдневной давности обнаружился идеально подходящий мертвец.  
> Полдень.  
> Объект заколдован ""чёрным словом Кеннара"", на закате вокруг были разбрызганы все необходимые декокты. Могила вновь зарыта.  
>   
> День 6.  
> Вечер.  
> Растения вокруг могилы завяли. Из почвы вылезли и расползлись насекомые и черви. Все признаки указывают на успешность создания нахцерера.  
>   
> День 7.  
> Полдень.  
> Из-под земли слышны чавканье и клацанье зубов.   
> Ночь.  
> После захода солнца на поверхность выкопался нахцерер. У объекта закрыт один глаз, вывернуто несколько пальцев на руках, реакции в порядке. Скорость самопоедания средняя. Растения и кусты вянут ещё у пяти могил.

***Из лабораторного журнала Виен-Нгуен, ученицы Эллунира***"
Ангиак,Перкунос Седой,Александр и Елена,1,нежить,маг,инстинкты,,мёртвая плоть,"глаза: красные,уродливый,крылья: перепончатые,зубы: клыки,торс: хилый,глаза: светятся,горбящийся",2 ноги,гуманоидное,средний,вертикальное,клыки (урон: кусательный; материал: зуб; тип силы: равновесие),"Слабый,Удар,Кожа да кости,Быстрее ветра","пустыня,песчаные дюны,высохшая растрескавшаяся земля,высохшие растрескавшиеся холмы,сухие луга,холмы с высохшей травой","перепончатые крылья,зуб ангиака",https://the-tale.org/guide/mobs/75,"
> В диких местах, там, где жара и песок властвуют, орки порой такое учиняют. Когда голод обессиливающий к ним начинает подкрадываться, а охотники добычи не приносят, тогда староста деревни бедствующей детей грудных у матерей отнимает и промеж барханов от жажды и зноя умирать оставляет.   
>   
> Ребенок, что смерть такую злодейскую принимает, иногда мертвым встает и мстить за судьбу свою лютую всем, кого встретит, начинает. Дитя этакое выглядит скверно: крылья у него перепончатые отрастают, зубы тонкие да острые, как иглы, появляются, а глаза оного кровью и ненавистью наполняются.   
>   
> И называть его надобно ангиак, и истреблять его надобно безжалостно, ибо скверна энта токма смерть и несчастья способна приносить.

***Перкунос Седой «О мире и жителях егонных», том второй***"
Белая гиена,Лялислав Бездомный,Александр и Елена,44,чудовища,маг,инстинкты,жестовое,живая плоть,"тело: горит,шерсть: средней длины,глаза: светятся,хвост,глаза: белые",4 лапы,собачье,маленький,горизонтальное,клыки (урон: кусательный; материал: зуб; тип силы: равновесие),"Толстяк,Удар,Пиромания,Боец","пустыня,песчаные дюны,высохшая растрескавшаяся земля,высохшие растрескавшиеся холмы","крылья гиены,природное стекло",https://the-tale.org/guide/mobs/124,"
> Я думаю, многим известно, что такое противоречивые чувства. Один мой знакомый гоблин шутил, что противоречивые чувства испытывает каждый учёный, создав взрывчатый состав и угробив при его испытании всю свою лабораторию.   
>   
> Лично я первый раз ощутил такое чувство, находясь в одной орочей деревушке. Занесло меня туда случайно. Я и не знал, что в тех краях вообще кто-нибудь живёт, а тут на тебе, поселеньице, и вполне себе приличное. В центре огромный шатер вздымается — общая кухня, столовая и кабак по совместительству, по бокам от него два поменьше — личные апартаменты вождя и шамана. В общем, всё как полагается, да и приняли меня там хорошо.   
>   
> За небольшую плату мне достался гамак увешанный шкурами и охранными амулетами, место у костра с чаном еды, миска и кружка отменной водки.   
>   
> Дня через два, когда я уже собирался продолжить свое странствие, в деревне случился переполох. Охотники доложили вождю, что недалеко видели белую гиену. Понервничать действительно было из-за чего.   
>   
> Тем, кто впервые слышит о подобной зверюшке, сейчас объясню, что это такое. Белая гиена, она же барханная гиена, получила своё название не из-за цвета шкуры или особой чистоплотности, а из-за яркого белого пламени окутывающего её полностью, от лап до кончика носа.   
>   
> Большинство оружия в этом пламени попросту плавится, не причиняя самой твари никакого вреда. Если же всё-таки кому-то удается ранить белую гиену, и представиться для неё опасным, тогда она начинает извергать пламя из пасти.  
>   
> Такие бестии редко появляются рядом с поселениями и трактами, предпочитая более глухие места, но иногда их всё же можно там встретить. Никаких намёков на то, что на этом месте была деревня, после того, как там побывает белая гиена, никто не обнаружит. Следы её присутствия, в основном, это расплавленная и местами застывшая в стеклянном блеске песчаная земля.   
>   
> В общем, перед орками, что меня приняли, стала серьёзная проблема. Естественно, ни у кого из них не было дорогущего и редкого оружия, способного противостоять белому пламени, и покидать родные насиженные места, спасаясь от монстра, им тоже очень не хотелось.   
>   
> Понаблюдав за тем, как решается участь деревни, а вождь то угрожает, то просит, то бьёт шамана, я решил немного прогуляться и прикинуть, насколько в действительности близка опасность. Ведь злосчастная гиена могла уйти далеко и мимо, не обнаружив вкусный стол в виде поселения. Слоняться мне пришлось совсем недолго.   
>   
> Столкнулись мы с ней, как говорится, лоб в лоб. Я плохо помню ту схватку.   
>   
> Очнулся я уже в шатре шамана, который, нужно отдать ему должное, изрядно надо мной потрудился. Потом даже от шрамов избавляться не нужно было, все без следов заросло. Когда моё несчастное тело окрепло, и я смог самостоятельно выбрести на улицу, меня как героя встретило всё население деревни во главе с вождем. Усадив за стол и поблагодарив от имени всех жителей, тамошний лидер вручил мне самый дорогой на взгляд орков подарок, от которого ни в коем случае нельзя отказываться, ну, если жизнь дорога. А подарком тем стала ночь с любой из женщин деревни, на выбор.   
>   
> Вот тогда-то я и испытал воистину противоречивые чувства. С одной стороны — это действительно наивысший знак уважения у этой расы, и быть удостоенным его — однозначно повод для гордости. С другой стороны — ночь с оркесой!   
>   
> Что было дальше, рассказывать не буду, мне до сих пор стыдно. Всё закончилось тем, что уходил я из деревни с диким похмельем, получив на прощание кучу припасов и нежный поцелуй дочери шамана.

***Лялислав Бездомный «Записки путешественника»***"
Вилах,Лялислав Бездомный,Александр и Елена,1,животные,авантюрист,инстинкты,жестовое,живая плоть,"зубы: клыки,шерсть: длинная,хвост",4 лапы,собачье,большой,горизонтальное,клыки (урон: кусательный; материал: зуб; тип силы: физическая),"Удар,Боец,Быстрый","хвойный лес,хвойный лес на холмах,лиственный лес,лиственный лес на холмах","ухо вилаха,мех вилаха",https://the-tale.org/guide/mobs/78,"
> Монстров в своей жизни я видел много и, если дорога ко мне будет благосклонна, ещё увижу немало. Разные они бывают, не только уродливые и распространяющие вокруг себя смрад. Есть бестии, которых убивать без особой уж нужды не хочется — красивые, грациозные, завораживающие. Таких гораздо больше, чем может показаться на первый взгляд. Но с ними надо быть предельно осторожным, не дать жалости сыграть с собой злую шутку. О чём я говорю? Сейчас расскажу.   
>   
> Недалеко от одного эльфийского поселения молодой вилах появляться начал. Длинноухие опасались, но он не нападал, и они не стали его убивать — пожалели красивую бестию. Я по молодости подумал тогда, что эльфийское обострённое чувство красоты не позволило им избавиться от зверюшки, пока она ещё была не особо опасна. Пёс, размером с небольшую лошадь, обладающий грацией кошки, с длинной, даже на взгляд, мягкой и шелковистой шерстью заставит любоваться собой почти каждого. Изумрудный на солнце, пепельный в тени окрас, создаёт иллюзию волшебства и нереальности. Кажется, что это существо рождено самим лесом. Но дать ему возможность жить рядом с собой — это роковая ошибка... Но те эльфы просто не хотели рисковать и охотиться на бестию.  
>   
> Время шло, вилах подрос, и инстинкты, унаследованные от предков, взяли верх. Трагедия случилась на небольшой полянке, где эльфка и двое её детей собирали ягоду. Набравшаяся силы зверушка расправилась с несчастными так быстро, что они не успели даже позвать на помощь. Отец семейства, когда увидел то, что осталось от его жены и детей, поседел.   
>   
> В общем, потом нашли вилаха и убили его, но теперь живёт на свете седой эльф, который никогда не сможет узнать, какие девушки интересовали бы его младшего сына…

***Лялислав Бездомный «Записки путешественника»***"
Шайтан,Переяр,Александр и Елена,19,демоны,авантюрист,низкий,"вербальное,жестовое",живая плоть,"запах: падаль,зубы: клыки,торс: мощный",2 ноги,гуманоидное,средний,вертикальное,"когти (урон: рвущий; материал: роговое образование; тип силы: ближе к физике),клыки (урон: кусательный; материал: зуб; тип силы: равновесие)","Удар,Громила","мёртвый лес на холмах,пустыня,песчаные дюны,мёртвый лес","пергамент,сера",https://the-tale.org/guide/mobs/61,"
> Шёл я как-то в город орков… Да не знаю я, как он сейчас называется, переименовали… Песок вокруг, ночь, прохладно… Да, в пустынях, что б ты знал, ночами холодно! Молодёжь… И тут откуда ни возьмись появляется этакая человекоподобная горилла лысая. В одних штанах из кожи, на поясе высушенные человеческие головы… Знаешь, такие, как бы скукожившиеся до размера кулака? Почерневшие?.. Чего это у тебя булькает? Нормально себя чувствуешь?.. Ладно. Так вот. Ростом полтора меня. На руках когти, что твои серпы. Морда оскаленная, и по зубам видно — не травоядное оно. Только я сталь из ножен вытянул…  
>   
> Единственный раз Переяр пожалел, что на охоту пошёл. Потом я узнал — шайтан на меня налетел. Он мне первым ударом обе ноги перебил, сволочь. Вторым кишки мне выпустил. Я, перед тем как кончиться, успел ещё увидеть, как они этаким фонтаном мясным взлетают… Ну кто-кто? Кишки!.. Да мои! Ну чьи ещё-то?.. Что!? Я, Переяр, вру?! Хранитель мой, заступник, к жизни меня вернул. Да я, что б ты знал, шайтана этого, бестию, на следующий день по следам его догнал. Вон видишь в банке что-то заспиртовано? Угадаешь что?…

***Из бесед у камина со старым Переяром***"
Ачери,Лялислав Бездомный,Александр и Елена,1,нежить,авантюрист,рефлексы,жестовое,мёртвая плоть,"худой,зубы: клыки,торс: хилый,кожа: бледная",2 ноги,гуманоидное,средний,вертикальное,клыки (урон: кусательный; материал: зуб; тип силы: равновесие),"Худой,Быстрый,Удар,Слабый","сухие луга,холмы с высохшей травой,луга,зелёные холмы","колечко с камушком,заколка для волос",https://the-tale.org/guide/mobs/81,"
> Одним из наиболее нелюбимых мною монстров являются ачери. И дело тут не в том, что они довольно часто встречаются (особенно среди холмов и заливных лугов), и даже не в том, что они с завидной регулярностью сбиваются в группы, а в том, как они выглядят.   
>   
> Убить мерзкую агрессивную пакость для меня не составляет труда. Я не терзаюсь жалостью, когда уничтожаю ползунов, наг и других бестий. Но вот с ачери дело обстоит совсем иначе. Встретившись с ними, ты волей-неволей задумываешься о том, кем они были при жизни.   
>   
> А были они маленькими девочками или юными девушками, которых зверски замучили и убили. Причём их родственники не то что не проронили по ним ни одной тоскливой слезинки, но даже не почтили память несчастных хотя бы траурным ужином. И тогда дух замученных начинает скитаться, озлобляется, а после нападает на всех, кто так или иначе напоминает их убийц.   
>   
> В общем, как-то нехорошо и грустно становится, глядя на останки этих существ. С учетом, что их посмертный облик мало чем отличается от того, как они выглядели при жизни. Девочка как девочка, только бледная очень и кровью вся запачканная.   
>   
> Но предупреждаю, ни в коем случае не стоит пытаться пожалеть или выйти на контакт с данным творением. Ачери — это уже не прекрасное юное создание, которое постиг злой рок. Ачери — это кровожадный монстр, не знающий сострадания ни к кому.

***Лялислав Бездомный «Записки путешественника»***"
Огненная даппи,Хан и Туан,Александр и Елена,3,стихийные существа,маг,инстинкты,жестовое,энергия,глаза: светятся,парит над землёй,гуманоидное,средний,вертикальное,касание энергетическое (урон: энергетический; материал: экзотика; тип силы: равновесие),"Убийца,Удар,Пиромания","пустыня,песчаные дюны,высохшая растрескавшаяся земля,высохшие растрескавшиеся холмы,сухие луга,холмы с высохшей травой","угольное кольцо,сажа",https://the-tale.org/guide/mobs/83,"
> Огненная даппи — это вид бестиевидного существа, возникающего посредством духо-материализации. Отличительной чертой этого монстра является отсутствие необходимости в питании животной или растительной пищей. Основным энергетическим источником, способствующим продолжению жизненной активности даппи, выступают эмоционально-магические импульсы, исходящие от существа, которое убивает данная бестия.   
>   
> Также стоит отметить, что она способна поглощать и менее сильные эмоции, например, в качестве пищи может принять страх, ненависть, отчаянье и так далее.   
>   
> Немаловажно, что основная среда обитания огненной даппи — это степо-пустынные местности близь небольших поселений и городов. Соседство с данной бестией нередко провоцирует местных жителей на самоубийства и жестокие расправы друг над другом. Ярким свидетельством её присутствия часто становятся массовые самосожжения, беспричинное применение пыток огнем, поджоги, пожары.

***«Большая энциклопедия Хана и Туана», том двадцатый***"
Анчутка,Хан и Туан,Александр и Елена,1,демоны,авантюрист,низкий,"вербальное,жестовое",живая плоть,"худой,шерсть: короткая,хвост,рога: маленькие",2 копыта,гуманоидное,маленький,вертикальное,когти (урон: рвущий; материал: роговое образование; тип силы: равновесие),"Удар,Боец,Быстрый","сухие луга,луга","медное кольцо,порванная медная цепочка",https://the-tale.org/guide/mobs/84,"
> Анчутка, он же чертеус обыкновенный, обитает большей частью в равнинной местности, предпочтение отдает маковым или конопляным полям близ небольших поселений. Данный вид существ является опасным и наносит большой вред посевам.   
>   
> Способы охоты применяет различные: от прямого нападения до более сложных. Например, анчутка достаточно часто использует засады, иногда готовит элементарные ловушки, применяя для этого веревки, коряги, рытьё ям.   
>   
> Чертеусу обыкновенному присущ ряд внешних видовых особенностей: невысокий худой скелет; жесткий ворсяной покров по всему телу, окрас варьируется от палево-серого до буро-коричневого и чёрного; небольшие роговые наросты в лобной области; копытные задние конечности; острые зубы; наличие длинного подвижного хвоста.  
>   
> Также стоит отметить, что внимание анчутки часто привлекают мелкие медные блестящие вещи. Это могут быть кольца, монеты, цепочки. Поэтому обладатели данных вещей намного чаще подвергаются его нападению.

***«Большая энциклопедия Хана и Туана», том седьмой***"
Жихарь,Лялислав Бездомный,Александр и Елена,2,чудовища,авантюрист,инстинкты,жестовое,живая плоть,"шерсть: жёсткая,шерсть: короткая,зубы: клыки,глаза: жёлтые,глаза: светятся,уродливый,хвост",4 лапы,кошачье,большой,горизонтальное,когти (урон: рвущий; материал: роговое образование; тип силы: равновесие),"Медленный,Удар,Громила","сухие луга,холмы с высохшей травой,луга,зелёные холмы","печатка жихаря,пучок трав",https://the-tale.org/guide/mobs/85,"
> Ох, сколько же небылиц разных по селениям за время дороги наслушаешься, если каждой из них верить, то получается, что монстрам больше делать нечего, кроме как женщин сначала совращать, потом детей у них отнимать, а попутно мужиков силы плодовитой лишать.   
>   
> Нет, безусловно, есть твари, которые могут что-то подобное учинить, ну, во всяком случае, первые две выходки характерны для некоторых бестий. Однако, если говорить о совращении, так тем существам, которые так «озоруют», обычно все равно женщина перед ними или мужик с седой бородой до пупа.   
>   
> А что касается отнимания мужеской силы, так это полный бред, я о таком даже и не читал ни разу. Хотя… если этот вопрос рассмотреть с точки зрения очень неудачных ранений, то тогда всё возможно. Но опять же, я бы не стал какую-то конкретную бестию обвинять. На такое многие способны.   
>   
> Вот, например, жихарь, монстр, мягко говоря, не дружелюбный, выглядит отвратно, тут спора нет, у деревень часто крутится. Но не крадет он детей. А у селений появляется потому, что живет в полях да на лугах и по запаху за скотом с пастбищ приходит. Желто-зеленый он не из-за злобности своей (во всяком случае, не только) — в первую очередь это маскировка.   
>   
> В одном народная мудрость права — связываться с жихарем самим не стоит, лучше воина какого нанять или к путнику, оружием владеющим, обратится.   
>   
> Но бывает же такая чушь рассказывается, аж жуть, а потом храбрые, но глупые парни, послушавшись старцев-знающих, гибнут.

***Лялислав Бездомный «Записки путешественника»***"
Спятивший лорд,Каиниллин,Александр и Елена,21,разумные двуногие,авантюрист,нормальный,"вербальное,жестовое",живая плоть,"одежда: хорошо,глаза: безумные",2 ноги,гуманоидное,средний,вертикальное,меч (урон: колющий / рубящий; материал: металл; тип силы: ближе к физике),"Удар,Берсерк,Громила","болото,хвойный лес,лиственный лес,заболоченный лес,джунгли,мёртвый лес,песчаные дюны,высохшие растрескавшиеся холмы,грязевые холмы,холмы с высохшей травой,зелёные холмы,заболоченные холмы,хвойный лес на холмах,лиственный лес на холмах,заболоченный лес на холмах,джунгли на холмах,мёртвый лес на холмах,глубокая вода,мелкая вода,высокие горы,низкие горы,пустыня,высохшая растрескавшаяся земля,грязь,сухие луга,луга","фамильный перстень,синие грибы",https://the-tale.org/guide/mobs/89,"
> …Господа, я вас уверяю, что тот благородный лорд был спятившим… Да, безусловно, я и мой тупоумный охранник-человек осмотрели тело несчастного, пытаясь выяснить личность, и обнаружили наркотики, в частности, синие грибы.  
>   
> Я, безусловно, с огромным уважением отношусь и к вам, и ко всем вашим коллегам, но право слово, я же не какой-нибудь гоблин-разбойник. Этот разговор мне не доставляет удовольствия. Тот благородный лорд напал на нас первым. Слово честного купца, чья репутация известна и вам и всей округе!..  
>   
> До свиданья, удачи вам! Лучше б торговцев грибами искали… Я говорю, господа, наилучшего вам в ваших поисках!

***Купец Каиниллин «Разговор с лицами в серых плащах»***"
Ичетик,Перкунос Седой,Александр и Елена,28,нежить,авантюрист,рефлексы,жестовое,мёртвая плоть,"глаза: остекленевшие (рыбьи),кожа: тёмная,зубы: клыки,запах: гниль,горбящийся",2 ноги,гуманоидное,средний,вертикальное,клыки (урон: кусательный; материал: зуб; тип силы: равновесие),"Быстрый,Удар,Кожа да кости,Дезориентация","болото,заболоченные холмы,заболоченный лес,заболоченный лес на холмах,грязь,грязевые холмы","слёзы ичетика,зуб ичетика",https://the-tale.org/guide/mobs/103,"
> В селениях гоблинских, что на болотах гиблых, кои от дорог всеми известных далеко стоят, таковое злодеяние порой случается. Временем голод на энто толкает, а когда и немощь умственная бабы, что понесла не к месту или не от мужа своего. Поступок поганый суть в себе имеет утопление младенца, новорождённого.   
>   
> И природе оный противен дюже. Так как опосля, в краях тамошних скверна лютая заводится, а имя оной — ичетики. Твари энти на народ простой, коий рядом оказывается, нападают и в топи за собой утягивают. От того могут в местах таковых новые ичетики появляться, размером различные, как положено утопленникам пиявками покрытые, с кожей почерневшей и тиною в волосах.  
>   
> Мелкая ж с локоть людской размером мерзость та, и покрыта оная вся кожей бледной жёлто-синей, акоже гной смердящий. Крупные ичетики размера обычного и опаснее многократно.  
>   
> Прыгают ичетики на лапах своих вздутых особливо высоко, так что в горло даже орку рослому вцепиться зубищами острыми смогут.   
>   
> Коли завелись они рядом с селением каким, надобно скоро воина опытного искать и помощь егонную просить сильно. А покуда такого не сыщется, сидеть всем в одном доме вместе, и токма за снедью мужикам недалече выходить.

***Перкунос Седой «О мире и жителях егонных», том восьмой***"
